isbn_livro,posicao,copias_vendidas,mes_ano
978-85-32512-94-9,19,4.139,1//2021
978-65-80309-31-3,20,3.967,1//2021
978-85-68014-00-4,1,10.903,2//2021
978-65-50470-52-4,2,6.717,2//2021
978-85-51002-49-0,3,6.502,2//2021
978-85-50801-48-3,4,6.486,2//2021
978-85-80411-46-1,5,6.463,2//2021
978-85-95083-27-1,6,6.049,2//2021
978-85-32529-78-7,7,5.052,2//2021
978-65-80309-31-3,8,4.774,2//2021
978-85-51002-93-3,9,4.592,2//2021
978-85-45202-21-9,10,4.523,2//2021
978-85-80411-97-3,11,4.137,2//2021
978-85-35909-55-5,12,4.068,2//2021
978-85-76849-94-0,13,3.946,2//2021
978-85-45203-72-8,14,3.872,2//2021
978-85-95081-53-6,15,3.736,2//2021
978-65-55440-49-2,16,3.615,2//2021
978-85-39004-11-9,17,3.552,2//2021
978-65-55440-60-7,18,3.505,2//2021
978-85-35914-84-9,19,3.484,2//2021
978-85-47000-24-0,20,3.458,2//2021
978-85-68014-00-4,1,7.406,3//2021
978-85-32529-78-7,2,6.523,3//2021
978-65-80309-31-3,3,5.651,3//2021
978-85-50801-48-3,4,4.991,3//2021
978-85-95083-27-1,5,3.929,3//2021
978-65-99136-93-1,6,3.419,3//2021
978-85-32512-94-9,7,3.403,3//2021
978-85-80411-46-1,8,3.199,3//2021
978-85-47000-24-0,9,3.103,3//2021
978-65-55440-49-2,10,3.030,3//2021
978-85-43104-33-1,11,3.020,3//2021
978-85-01105-87-5,12,3.009,3//2021
978-65-55440-78-2,13,2.999,3//2021
978-65-86085-01-3,14,2.950,3//2021
978-85-51002-49-0,15,2.908,3//2021
978-85-76849-94-0,16,2.804,3//2021
978-85-45202-21-9,17,2.523,3//2021
978-85-62409-88-2,18,2.506,3//2021
978-85-95081-53-6,19,2.499,3//2021
978-85-68014-00-4,1,9.572,4//2021
978-65-99136-93-1,2,6.907,4//2021
978-85-32529-78-7,3,5.858,4//2021
978-65-80309-31-3,4,5.348,4//2021
978-65-50470-36-4,5,4.691,4//2021
978-85-50801-48-3,6,4.635,4//2021
978-85-01105-87-5,7,4.564,4//2021
978-85-62409-88-2,8,4.498,4//2021
978-85-32512-94-9,9,4.298,4//2021
978-65-55440-89-8,10,4.227,4//2021
978-85-95083-27-1,11,3.733,4//2021
978-85-43104-33-1,12,3.465,4//2021
978-85-47000-24-0,13,3.224,4//2021
978-85-76849-94-0,14,3.194,4//2021
978-85-39004-11-9,15,3.124,4//2021
978-85-45202-21-9,16,3.017,4//2021
978-85-95081-53-6,17,2.944,4//2021
978-65-55790-64-1,18,2.863,4//2021
978-85-73258-92-9,19,2.825,4//2021
978-85-75422-39-7,20,2.815,4//2021
978-85-68014-00-4,1,8.001,5//2021
978-65-80309-31-3,2,6.317,5//2021
978-85-32529-78-7,3,5.430,5//2021
978-85-62409-88-2,4,4.394,5//2021
978-85-32512-94-9,5,4.383,5//2021
978-65-88444-00-9,6,4.029,5//2021
978-85-43104-33-1,7,3.812,5//2021
978-85-76849-94-0,8,3.613,5//2021
978-65-55440-87-4,9,3.528,5//2021
978-85-01105-87-5,10,3.506,5//2021
978-85-50801-48-3,11,3.304,5//2021
978-85-55340-94-9,12,3.294,5//2021
978-85-65765-69-5,13,3.290,5//2021
978-85-32604-91-0,14,3.232,5//2021
978-85-95083-27-1,15,3.231,5//2021
978-85-45202-21-9,16,3.148,5//2021
978-65-89083-03-0,17,2.985,5//2021
978-85-75422-39-7,18,2.955,5//2021
978-85-47000-24-0,19,2.912,5//2021
978-85-95081-53-6,20,2.859,5//2021
978-85-68014-00-4,1,7.783,6//2021
978-65-80309-31-3,2,7.198,6//2021
978-85-95083-27-1,3,6.049,6//2021
978-65-55440-69-0,4,6.020,6//2021
978-85-50801-48-3,5,5.818,6//2021
978-85-62409-88-2,6,5.655,6//2021
978-85-32529-78-7,7,5.409,6//2021
978-85-45202-21-9,8,5.146,6//2021
978-85-55340-94-9,9,4.792,6//2021
978-85-35909-55-5,10,4.165,6//2021
978-65-55441-03-1,11,4.033,6//2021
978-85-75422-39-7,12,3.953,6//2021
978-85-95081-53-6,13,3.938,6//2021
978-85-32512-94-9,14,3.884,6//2021
978-65-55670-10-3,15,3.625,6//2021
978-85-32604-91-0,16,3.577,6//2021
978-65-88444-00-9,17,3.519,6//2021
978-85-39004-11-9,18,3.516,6//2021
978-85-65765-48-0,19,3.494,6//2021
978-85-01105-87-5,20,3.381,6//2021
978-85-55340-94-9,1,11.024,7//2021
978-85-65765-48-0,2,10.343,7//2021
978-65-55670-39-4,3,10.063,7//2021
